id,slug,title,console,genre,release_year,condition,cart,manual,case,pamphlets,box,price,notes,image
1,sonic-the-hedgehog,Sonic the Hedgehog,Mega Drive,Platformer,1991,Good,Yes,Yes,Yes,No,No,25,Minor label wear consistent with age. Cart pins cleaned and tested.,Sonic1Megadrive.jpg
2,sonic-the-hedgehog-2,Sonic the Hedgehog 2,Mega Drive,Platformer,1992,Excellent,Yes,Yes,Yes,Yes,No,32,"Sharp label, no fading. Includes original pamphlet.",Sonic2Megadrive.png
3,streets-of-rage-2,Streets of Rage 2,Mega Drive,Beat 'em up,1992,Excellent,Yes,No,Yes,Yes,No,30,Case has light shelf wear on spine. Manual not included.,streets-of-rage-2.jpg
4,golden-axe,Golden Axe,Mega Drive,Beat 'em up,1989,Fair,Yes,No,No,No,No,18,"Cart only, tested and working. Label has some scuffing.",golden-axe.jpg
5,altered-beast,Altered Beast,Mega Drive,Action,1988,Good,Yes,Yes,Yes,No,No,20,"Pack-in title, commonly found this condition.",altered-beast.jpg
6,gunstar-heroes,Gunstar Heroes,Mega Drive,Run and gun,1993,Mint,Yes,Yes,Yes,Yes,Yes,85,"Complete in box, exceptional condition. A genuine highlight of the collection.",gunstar-heroes.jpg
7,shinobi-iii,Shinobi III: Return of the Ninja Master,Mega Drive,Platformer,1993,Good,Yes,No,Yes,No,No,38,Cart and case only. Plays perfectly.,shinobi-iii.jpg
8,phantasy-star-iv,Phantasy Star IV,Mega Drive,RPG,1994,Excellent,Yes,Yes,Yes,No,No,120,"Highly sought-after RPG. Battery tested and holding save state.",phantasy-star-iv.jpg
9,ecco-the-dolphin,Ecco the Dolphin,Mega Drive,Adventure,1992,Good,Yes,No,No,No,No,22,Cart only. Some sun fading on label.,ecco-the-dolphin.jpg
10,comix-zone,Comix Zone,Mega Drive,Beat 'em up,1995,Fair,Yes,No,No,No,No,40,Later release title, cart shows general wear.,comix-zone.jpg
11,toejam-and-earl,ToeJam & Earl,Mega Drive,Adventure,1991,Good,Yes,Yes,No,No,No,28,Cart and manual, no case.,toejam-and-earl.jpg
12,vectorman,Vectorman,Mega Drive,Platformer,1995,Excellent,Yes,Yes,Yes,Yes,No,45,"Great condition, includes pamphlet insert.",vectorman.jpg
